codigo_produto,descricao_produto,qtd_ocorrencias
001625,ALCOOL LIQUIDO 70%,10
005135,ALICATE AMPERIMETRO MULTIMETRO DIGITAL,7
007200,ALICATE BICO MEIA CANA 6 ISOLADO 1000V,6
011738,ALICATE BICO RETO,2
004180,ALICATE BOMBA D&apos;AGUA MTX 10 POL 250MM,6
004450,ALICATE CLIPADOR,5
008829,ALICATE CORTE 6&quot;,4
001551,ALICATE CORTE DIAGONAL 6 ISOL 1000V 41006/106,1
006953,ALICATE CORTE DIAGONAL NICKEL 6 POL-160 MM NIQUELADO CABO DOIS COMPONENTES//MTX..,1
000209,ALICATE DE CORTE,11
003265,ALICATE DE PRESSAO 10 POL.,3
010204,ALICATE DE PRESSÃO 10 POL. TIPO CORRENTE,1
006511,Alicate Decapador Crimpador Fios Automatico Profissional,6
006272,ALICATE DECAPADOR E CORTADOR DE FIOS,7
009318,ALICATE HIDRAULICO 10 A 300MM PRENSA CRIMPA TERMINAIS,1
001313,ALICATE PARA CRIMPAR RJ11 E RJ45,2
009516,"Alicate Perfuradora Hidraulica De Chapa 15t 6 Matriz 22-61,5",1
008202,"ALICATE PRENSA TERMINAL 0,25 ATE 10MM",5
004965,ALICATE PRENSA TERMINAL 10-35MM (ILHOS) - JNG,1
004033,"ALICATE REBITADOR CORNETA BERG 9,5 REF 4939991",1
007315,ALICATE TORQUÊS/TORQUESA ARMADOR 10 POLEGADAS,1
000307,ALICATE UNIVERSAL,13
006955,ALICATE UNIVERSAL NICKEL 8 POL NIQUELADO 169069 MTX..,3
000104,ALKIT01 PORTA SIMPLES PIVOTANTE - PRETO,9
005673,ALKIT09 FECHADURA P/ PORTA V/V BLINDEX - PRETO,18
005674,ALKIT10 FECHADURA P/ PORTA V/A BLINDEX - PRETO,22
005153,ALMOFADA,1
012150,Almofada Aveludada Retro Redonda C/ Botão Decoração Suede,1
008844,ALMOFADA REDONDA VELUDO RENDY,2
008465,ALONGADOR PARA VENTILADOR DE TETO,1
008622,ALUGUEL DE FURADEIRA MARTELETE 2KG,1
008579,ALUGUEL DE LIXADEIRA,1
004175,ALUGUEL DE MAQUINAS E EQUIPAMENTOS,3
009929,AMENDOIM JAPONES PCT 30G,1
004365,AMORTECEDOR DE PORTA,3
001708,AMPERIMETRO MULTIMETRO DIGITAL ALICATE - MINIPA - ET-3200,6
005192,AMPOLA TÉRMICA PARA REPOSIÇÃO DE GARRAFA,1
008399,ANÁLISE DO AMBIENTE PARA IDENTIFICAÇÃO DOS OFENSORES QUE CAUSAM BAIXA QUALIADE NAS TRANSMISSÕES DE VIDEO NAS UNIDADES GO,2
011727,ANCINHO ESTAMPADO 16 DENTES COM CABO 120 CM - TRAMONTINA,1
000073,ANEL COMUM  50MM 2 TIGRE,5
000074,ANEL COMUM 100MM 4  TIGRE,10
004051,ANEL COMUM 50MM,9
004518,ANEL COMUM 75MM,5
004520,ANEL COMUM 75MM 3,2
008594,ANEL DE BORRACHA ESGOTO SERIE R 100MM,1
001781,ANEL DE VEDAÇÃO ASTRA P/ BACIA AVB/ G60,1
006147,ANEL DE VEDACAO P/ VASO SANITARIO,17
008595,ANEL DE VEDAÇÃO PARA TUBO DE ESGOTO PVC DN50,2
012062,"ANEL FELTRO DIN 5419 32X44,5X5 KONE",1
012067,"ANEL FELTRO DIN 5419 48X64,5X6,5 KONE",1
012069,"ANEL O¿¿¿RING 59,92 X 3,53 OR 4237 KONE",1
012059,"ANEL TRAVA DIN 472 45 X 1,75 KONE",1
012064,"ANEL TRAVA DIN 472 65 X 2,5 KONE",1
012061,ANEL V¿¿¿RING VA0032 D31¿¿¿33 KONE,2
009637,ANEMOMETRO DIGITAL MINIPA,1
005923,APAGADOR QUADRO BRANCO BASE PLAST RADEX,2
006949,APARADOR 2 PORTAS CANTINHO DO CAFÉ BALÇÃO BUFFET SALA PRETO,3
007143,APARADOR 3 PORTAS CANTINHO DO CAFÉ SALA BALCÃO BUFFET RETRO,3
011190,APARADOR ARMÁRIO CHÃO BUFFET BAR ADEGA FLOW 2 PORTAS PRETO,2
011096,APARADOR BUFFET 2 PORTAS INDUSTRIAL ROMA PRETO,3
004899,APARADOR BUFFET 4 PORTAS OUTLET,1
009921,APARADOR BUFFET SALA FLOW COM 4 PORTAS PÉS MADEIRA MACIÇA COR PRETO/FREIJO,5
011437,APARADOR DE CHAO OU PAREDE 65 CM x 90 CM x 28 CM,1
008203,APARADOR DE GRAMA ELETRICO DIAMETRO DE CORTE 280MM 1000W 220V,1
011756,"APARADOR DE PORTA PVC COM PARAFUSO 25,0X25,0MM  PRETO",1
011484,Aparador Decorativo Orlando Cinamomo Pés em Metal Preto Marrom,1
009973,APARADOR INDUSTRIAL TELADO P1021 MEL PLACA E PONTO,5
011731,APARADOR SALA BUFFET BALCÃO BARZINHO RETRÔ SONETTO 3 PORTAS ACABAMENTO FOSCO COR PRETO,2
007395,APARADOR STANFORD CARVALHO E PRETO,2
011590,APARADOR STEEL 90 CM ESTILO INDUSTRIAL COM PÉS EM AÇO COR PRETO/NATURALE,1
011418,Aparador York Vermont e Preto 120 cm,1
010150,APARADOR YORK VERMONT E PRETO 160 CM,1
005158,APARELHO MEDIDOR DE PRESSÃO ARTERIAL DIGITAL DE PULSO,3
009049,APLICAÇÃO DE IDENTIDADE VISUAL EM MDF COM RECORTE A LASER E PINTURA AUTOMOTIVA NA COR PRETO FOSCO,1
011266,APLICAÇÃO FAIXA JATEADA,55
011269,APLICAÇÃO FAIXA JATEADA,29
011270,APLICAÇÃO PELICULA JATEADA,14
011271,APLICAÇÃO PELICULA JATEADA,15
008916,APLICADOR DE PLASTICO,1
004374,APLICADOR DE SILICONE,12
009257,APLICADOR DE SILICONE CHUMBADOR QUIMICO,1
003853,APLICADOR PARA SILICONE TUBULAR,1
005570,APLICADOR SPARTA DE SILICONE 310 ML,2
005944,APONTADOR C/DEPOSITO FABER CASTELL,2
000645,APONTADOR DE LAPIS,1
009738,"APOSTILA COM ASPIRAL 21X29,7",1
011883,APPLE WATCH SE 2 40MM,1
008857,"APTO SP-0013/BA - GUIA  SUPERIOR P/ PORTA 30,5MM BASE X 30,0 MM  ABAS",6
007158,AR - A 525X325,1
004162,AR CONDICIONADO CARRIER DUTO 57.000 BTU/H 220V,1
001124,ARAME GALVANIZADO 10,4
011804,ARAME GALVANIZADO 14,3
008443,ARAME GALVANIZADO 16,4
