codigo_removido,codigo_mantido,produto,descricao
012435,005925,"Regua Tp Plast REF30 Simples Waleu","REGUA 30CM TP PLAST REF30 SIMPLES WALEU"
006238,006237,"Rodizio Giratorio Com Freio Para Container E Lixeira","RODIZIO GIRATORIO SEM FREIO PARA CONTAINER E LIXEIRA"
000976,001302,"Rodo C/ Cabo Plastificado","RODO 40CM C/ CABO PLASTIFICADO"
009487,011784,"Rv+rg-regulador De Vazao C/ Registro","RV+RG-REGULADOR DE VAZAO C/ REGISTRO"
005424,005173,"Saco Alvejado","SACO ALVEJADO 50X70CM"
004727,003568,"Saco Alvejado Especial","SACO ALVEJADO ESPECIAL 40X65CM"
006641,006642,"Saco Lixo Pr C/100 3KG Ecova","SACO LIXO 100L PR 70X88 C/100 3KG ECOVA"
006428,006430,"Saco Lixo Pr C/100 0,8KG Eco","SACO LIXO 20L PR 45X55 C/100 0,8KG ECO"
007901,007355,"Saco Xadrez Caebi","SACO XADREZ CAEBI 40X62CM"
012320,012219,"Sanar Vazamento E Carga De Gás Do Equipamento","SANAR VAZAMENTO E CARGA DE GÁS DO EQUIPAMENTO"
012453,012244,"Sapatilha Desc Prope C/100 Nobre","SAPATILHA DESC PROPE C/100 NOBRE"
000333,000334,"Serra Marmore 4100 NH3Z 220 Makita","SERRA MARMORE 4. 3/8 4100 NH3Z 220 MAKITA"
005888,005921,"Suporte Fibra C/rosca SR300 Bralimpia","SUPORTE FIBRA C/ROSCA SR300 BRALIMPIA"
009284,008826,"Tampa Para Perfilado Encaixe","TAMPA DE ENCAIXE PARA PERFILADO 38X38"
000143,000544,"Tesoura Multiuso Mundial","TESOURA MULTIUSO 21CM 160/8 MUNDIAL"
012375,005119,"Tosi Caixa Plenum Filtro PL/DQE-41 TAM.3 B.150","TOSI CAIXA PLENUM FILTRO PL/DQE-41 TAM.3 B. 150"
012376,005120,"Tosi Difusor Filtro DQE-41 TAM.3 C/reg","TOSI DIFUSOR FILTRO DQE-41 TAM.3 C/ REG"
003569,004728,"Vassoura","VASSOURA"
006633,006628,"Vassoura Magica Plus Flashlimp","VASSOURA MAGICA PLUS FLASHLIMP"
006184,006191,"Vinagre Alcool Br Vitalia","VINAGRE 750ML ALCOOL BR VITALIA"
