codigo,descricao,motivo
006037,"LOCAÇÃO DE CAÇAMBA PARA DESCARTE",servico
006029,"LOCAÇÃO DE COMPRESSOR P/ PINTURA",servico
008931,"LOCAÇÃO DE EQUIPAMENTO BOSCH DTECT 150",servico
011966,"LOCAÇÃO DE GERADOR",servico
007259,"LOCAÇÃO DE LIXADEIRA INDUSTRIAL MODELO ENCERADEIRA",servico
008843,"LOCAÇÃO DE MAÇARICO PARA CORTE DE AÇO PESADO",servico
005160,"LOCAÇÃO DE MAQUINAS E EQUIPAMENTOS",servico
008535,"LOCAÇÃO DE MARTELETE DE 10KG",servico
011550,"LOCAÇÃO DE MARTELETE DE 15KG",servico
010992,"LOCAÇÃO DE NO BREAK TRIFÁSICO",servico
006343,"LOCAÇÃO DE PROJETOR",servico
009451,"MANUTENÇÃO ACIONAMENTO DIVISÓRIA RETRATIL",servico
011446,"Manutenção de Jardim",servico
011555,"Manutenção de Jardim",servico
003930,"MANUTENÇÃO DO PORTÃO E COMANDOS",servico
005052,"MANUTENÇÃO E REPARO DE CAFETEIRA INDUSTRIAL",servico
010113,"MANUTENÇÃO EM JANELA",servico
012424,"Manutenção letreiro",servico
011950,"manutenção preventiva das cabines de barramento e centros de medição",servico
009455,"MANUTENÇÃO PREVENTIVA DIVISÓRIA RETRATIL",servico
011658,"Manutenção preventiva para gerador",servico
004059,"MÃO DE OBRA DE PINTURA FRIA",servico
009012,"MÃO DE OBRA DE REVISÃO E TROCA DE ROLAMENTO",servico
003960,"PRESTAÇÃO DE SERVIÇO DE FURO TECNICO",servico
007043,"REALOCAÇÃO COM LIMPEZA QUÍMICA, K7 E PISO T",servico
011940,"REALOCAÇÃO DE 03 EQUIPAMENTOS DUTO (02- 36.000 BTUS E 01- DE 48.000 BTUS)",servico
008108,"REALOCAÇÃO DE CONDENSADORA",servico
007221,"REALOCAÇÃO DE DIFUSOR",servico
007409,"REALOCAÇÃO DE EQUIPAMENTO DUTO",servico
011122,"REALOCAÇÃO DE EQUIPAMENTO HIWALL VRF E STARTUP DO SISTEMA",servico
007372,"REALOCAÇÃO DE EQUIPAMENTO K7",servico
007370,"REALOCAÇÃO DE EQUIPAMENTO SPLIT",servico
012328,"RELOCAÇÃO DE 02 EQUIPAMENTOS VRF DUTO 6hp E STARTUP",servico
008388,"RELOCAÇÃO DE DIFUSORES",servico
011772,"RELOCAÇÃO DE DUTO DE 08 METROS",servico
011769,"RELOCAÇÃO DE EQUIPAMENTO DUTO VRF 6hp HITACHI",servico
009722,"RELOCAÇÃO DE EQUIPAMENTO E STARTUP",servico
011765,"RELOCAÇÃO DE EQUIPAMENTOS DUTO VRF HITACHI 6HP STARTUP",servico
011748,"RELOCAÇÃO DE EQUIPAMENTOS VRF DUTO 6hp E STARTUP",servico
008456,"RELOCAÇÃO DE INFRA",servico
011467,"RELOCAÇÃO DE K7 24.000 BTUS VRF TRANE",servico
012057,"RELOCAÇÃO DE K7 DE 4 HP - VRF E START UP / INSTALAÇÃO DE REFINETE E VÁLVULAS GBC",servico
011706,"Relocação ou instalação de difusores",servico
012538,"RELOCAÇÃO OU REINSTALAÇÃO DE 10 DIFUSORES",servico
007041,"RELOCAÇÃO/INSTALAÇÃO GRELHA DE RETORNO",servico
011970,"Remoção total e instalação de nova tubulação . Material e mão de obra",servico
007072,"SERVIÇO DE ACABAMENTO DE DRYWALL",servico
009060,"SERVIÇO DE ADEQUAÇÃO CIVIL PARA AUMENTO DE PARADA SUPERIOR DO ELEVADOR",servico
007284,"SERVIÇO DE ADEQUAÇÃO DO SISTEMA DE CHUVEIRO AUTOMÁTICO",servico
011820,"SERVIÇO DE ADEQUAÇÃO DO SISTEMA DE SPRINKLERS",servico
009063,"SERVIÇO DE ADEQUAÇÕES HIDRAULICAS",servico
007347,"SERVIÇO DE ALINHAMENTO",servico
006346,"SERVIÇO DE AMACEAMENTO E PINTURA DE FORRO",servico
005043,"SERVIÇO DE ANALISE DA QUALIDADE DA ÁGUA",servico
005010,"SERVIÇO DE ANALISE DA QUALIDADE DO AR",servico
012135,"SERVIÇO DE APLICAÇÃO DE CIMENTO QUEIMADO",servico
008938,"SERVIÇO DE APLICAÇÃO DE HIPERMEABILIZANTE",servico
005954,"SERVIÇO DE APLICAÇÃO DE PELICULA",servico
005955,"SERVIÇO DE APLICAÇÃO DE PELICULA",servico
008646,"SERVIÇO DE ASSENTAMENTO DE PISO E RODAPÉ",servico
008584,"SERVIÇO DE CARPINTARIA",servico
007218,"SERVIÇO DE CONFECÇÃO DE CAIXOTE DE DRYWALL",servico
006863,"SERVIÇO DE CONFECÇÃO DE LETREIRO EM NEON",servico
009772,"SERVIÇO DE CONSTRUÇÃO DE DIVISÓRIA DE DRYWALL",servico
005535,"SERVIÇO DE CORTE",servico
008536,"SERVIÇO DE DEMOLIÇÃO",servico
011218,"SERVIÇO DE DEMOLIÇÃO DE FORRO",servico
003887,"SERVIÇO DE DESENTUPIMENTO LIMPEZA RASPAGEM E DESOBSTRUÇÃO",servico
011453,"SERVIÇO DE DESLOCAMENTO DE CENTRAL DE ALARME DE INCENDIO",servico
011494,"SERVIÇO DE DESMONTAGEM DE DIVISÓRIAS",servico
011598,"SERVIÇO DE DESMONTAGEM DE FORRO MINERAL",servico
011495,"SERVIÇO DE DESMONTAGEM DE MESAS",servico
009062,"SERVIÇO DE DESMONTAGEM DE PAREDE DE DRYWALL",servico
010082,"SERVIÇO DE DESMONTAGEM DE SOFA",servico
006934,"SERVIÇO DE DESMONTAGEM E INSTALAÇÃO DE FORROS",servico
007279,"SERVIÇO DE DIVULGAÇÃO DE VAGA",servico
007152,"SERVIÇO DE DIVULGAÇÃO DE VAGA NO JORNAL AMARELINHO",servico
010966,"SERVIÇO DE ELABORAÇÃO DE MEMORIAL DE CALCULO DE POPULAÇÃO",servico
008940,"SERVIÇO DE EMBUTIR E ACABAMENTO DE CABOS",servico
007175,"SERVIÇO DE EXECUÇÃO DE CAIXOTE",servico
007177,"SERVIÇO DE EXECUÇÃO DE FORRO DE DRYWALL",servico
007174,"SERVIÇO DE EXECUÇÃO DE PAREDE",servico
007071,"SERVIÇO DE EXECUÇÃO DE PAREDE DE DRYWALL",servico
006796,"SERVIÇO DE EXECUÇÃO DE PAREDE DE DRYWALL COM LÃ DE ROCHA",servico
006795,"SERVIÇO DE EXECUÇÃO DE SEPTO",servico
008937,"SERVIÇO DE EXECUSÃO DE CONTRAPISO",servico
008856,"SERVIÇO DE FABRICAÇÃO E COLOCAÇÃO DE LAVATÓRIOS",servico
006913,"SERVIÇO DE FECHAMENTO DE FORRO HALL ELEVADOR",servico
006915,"SERVIÇO DE FECHAMENTO DE JANELAS DOS BANHEIROS COM DRYWALL",servico
004190,"SERVIÇO DE IMPERMEABILIZAÇÃO",servico
009055,"SERVIÇO DE IMPERMEABILIZAÇÃO DE ESTOFADO",servico
009303,"SERVIÇO DE IMPLANTAÇÃO DE ACCESS POINTS",servico
008565,"SERVIÇO DE IMPRESSÃO",servico
008942,"SERVIÇO DE INFRAESTRUTURA ELETROCALHA",servico
009773,"SERVIÇO DE INFRAESTRUTURA SECA",servico
009603,"SERVIÇO DE INSTAÇÃO DE MANTA ASFALTICA",servico
006914,"SERVIÇO DE INSTALAÇÃO DE ALÇAPÃO",servico
010129,"SERVIÇO DE INSTALAÇÃO DE CATRACAS",servico
006344,"SERVIÇO DE INSTALAÇÃO DE CONTRA PISO",servico
007443,"SERVIÇO DE INSTALAÇÃO DE DETECTOR DE FUMAÇA",servico
008908,"SERVIÇO DE INSTALAÇÃO DE DIFUSORES PARA AR-CONDICIONADO",servico
007470,"SERVIÇO DE INSTALAÇÃO DE DUTO DE DESCARGA CONDENSADORA",servico
008909,"SERVIÇO DE INSTALAÇÃO DE ELETROCALHA",servico
012408,"SERVIÇO DE INSTALAÇÃO DE ESPELHO 4 MM LAPIDADO 140X600",servico
012409,"SERVIÇO DE INSTALAÇÃO DE ESPELHO 4 MM LAPIDADO 970X1800",servico
006950,"SERVIÇO DE INSTALAÇÃO DE FORRO",servico
004440,"SERVIÇO DE INSTALAÇÃO DE FORRO ACARTONADO",servico
006371,"SERVIÇO DE INSTALAÇÃO DE FORRO MINERAL",servico
007176,"SERVIÇO DE INSTALAÇÃO DE FORRO MODULAR",servico
009020,"SERVIÇO DE INSTALAÇÃO DE GESSO",servico
006868,"SERVIÇO DE INSTALAÇÃO DE GRAMA SINTETICA",servico
007440,"SERVIÇO DE INSTALAÇÃO DE PAPEL DE PAREDE",servico
007701,"SERVIÇO DE INSTALAÇÃO DE PAPEL DE PAREDE",servico
012077,"SERVIÇO DE INSTALAÇÃO DE PERSIANA",servico
012083,"SERVIÇO DE INSTALAÇÃO DE PORTA CORTA FOGO COM BATENTE E FECHADURA",servico
004289,"SERVIÇO DE INSTALAÇÃO DE PORTAS COM GUARNIÇÕES",servico
009442,"SERVIÇO DE INSTALAÇÃO DE SISTEMA BI SPLIT",servico
008185,"SERVIÇO DE INSTALAÇÃO DE TANQUE AÉREO PARA ARMAZEMAMENTO DE LIQUIDOS - TANQUE E BACIA 250 LITROS",servico
001499,"SERVIÇO DE INSTALAÇÃO DE TOLDOS",servico
008988,"SERVIÇO DE INSTALAÇÃO DE TORNEIRA, VALVULA DE PIA E SIFÃO",servico
008989,"SERVIÇO DE INSTALAÇÃO DE VASO SANITÁRIO",servico
012332,"SERVIÇO DE INSTALAÇÃO DE VIDRO 0,55 X 1,05M",servico
004774,"SERVIÇO DE INSTALAÇÃO DE VIDROS",servico
004829,"SERVIÇO DE INSTALAÇÃO E MANUTENÇÃO DE FECHADURA",servico
009886,"SERVIÇO DE INSTALAÇÃO REVESTIMENTO EM PORCELANATO",servico
002663,"SERVIÇO DE JARDINAGEM",servico
003869,"SERVIÇO DE JARDINAGEM",servico
007346,"SERVIÇO DE LAVAGEM",servico
009353,"SERVIÇO DE LAVAGEM DE ALMOFADAS",servico
009053,"SERVIÇO DE LAVAGEM DE ESTOFADO",servico
010974,"SERVIÇO DE LAVAGEM DE VIDROS",servico
005096,"SERVIÇO DE LETREIRO AÇO GALV. FACE ACRÍLICA CRISTAL LED INTERNO COM LOGO",servico
004384,"SERVIÇO DE LIMPEZA",servico
009054,"SERVIÇO DE LIMPEZA DE ESTOFADO",servico
007436,"SERVIÇO DE LIMPEZA DE FACHADA",servico
008337,"SERVIÇO DE LIMPEZA DE VIDROS",servico
010244,"SERVIÇO DE LIMPEZA DO ACM",servico
010245,"SERVIÇO DE LIMPEZA DO ACM E VIDRO",servico
009093,"SERVIÇO DE LIMPEZA E DESENTUPIMENTO DA CAIXA DE ESGOTO",servico
007135,"SERVIÇO DE LIMPEZA PÓS OBRA",servico
011319,"SERVIÇO DE LIMPEZA QUIMICA SISTEMA DUTO VRF DAIKIN 5HP",servico
003797,"SERVIÇO DE LIMPEZA, HIGIENIZAÇÃO E IMPERMEABILIZAÇÃO",servico
004951,"SERVIÇO DE LIMPEZA, HIGIENIZAÇÃO E IMPERMEABILIZAÇÃO",servico
008913,"SERVIÇO DE LIMPEZA, RASPAGEM, DESOBSTRUÇÃO E LIMPEZA TÉCNICA EM TUBULAÇÕES",servico
006449,"SERVIÇO DE MANUTENÇÃO CORRETIVA DE AR CONDICIONADO",servico
007167,"SERVIÇO DE MANUTENÇÃO CORRETIVA DE GERADORES",servico
009617,"SERVIÇO DE MANUTENÇÃO DE ELEVADOR",servico
012391,"SERVIÇO DE MANUTENÇÃO DE FACHADA COM PAINEL EM POLICARBONATO",servico
006591,"SERVIÇO DE MANUTENÇÃO DE GELADEIRA",servico
007169,"SERVIÇO DE MANUTENÇÃO DE GERADORES",servico
006687,"SERVIÇO DE MANUTENÇÃO DE NEON LETREIRO",servico
012373,"SERVIÇO DE MANUTENÇÃO DE PORTA AUTOMATICA",servico
011604,"SERVIÇO DE MANUTENÇÃO DE PORTAS E DIVISÓRIAS",servico
007424,"SERVIÇO DE MANUTENÇÃO DE TELEVISOR",servico
004730,"SERVIÇO DE MANUTENÇÃO DE VEICULOS",servico
008582,"SERVIÇO DE MANUTENÇÃO DO DECK",servico
007292,"SERVIÇO DE MANUTENÇÃO DO PROJETOR",servico
003814,"SERVIÇO DE MANUTENÇÃO E INSTALAÇÃO DE AR CONDICIONADO",servico
011896,"Serviço de mão de obra",servico
008855,"SERVIÇO DE MÃO DE OBRA DE ALVENARIA E ACABAMENTOS",servico
006517,"SERVIÇO DE MÃO DE OBRA DE DIVISÓRIA RETRÁTIL",servico
006884,"SERVIÇO DE MÃO DE OBRA DE INSTALAÇÃO DE PORTA",servico
008213,"SERVIÇO DE MÃO DE OBRA DE INSTALAÇÃO DO SISTEMA MINI VRF DE 18 HP COM 04 EVAP DUTO DE 5 HP",servico
011167,"SERVIÇO DE MÃO DE OBRA ELETRICISTA",servico
007348,"SERVIÇO DE MÃO DE OBRA MECÂNICA",servico
010178,"SERVIÇO DE MARCENARIA",servico
008563,"SERVIÇO DE MOBILIZAÇÃO",servico
007063,"SERVIÇO DE MODIFICAÇÃO NOS RAMAIS DE DUTOS",servico
011599,"SERVIÇO DE MONTAGEM DE FORRO MINERAL",servico
009579,"SERVIÇO DE MONTAGEM DE QUADRO ELETRICO",servico
012371,"SERVIÇO DE MOVIMENTAÇÃO DE MATERIAIS E ORGANIZAÇÃO DO ESPAÇO",servico
006345,"SERVIÇO DE NIVELAMENTO DE CONTRA PISO",servico
008910,"SERVIÇO DE PANAGEM DE MALHA DE ATERRAMENTO",servico
008943,"SERVIÇO DE PASSAGEM DE CABEAMENTO PARA O AR CONDICIONADO",servico
011862,"SERVIÇO DE PASSAGEM DE CABEAMENTO PARA PONTOS DE REDE",servico
009605,"SERVIÇO DE PASSAGEM DE CIRCUITO ELETRICO",servico
